Datazone2001Code,ScottishIndexofMultipleDeprivation2012Code
S01001661,4406
S01001662,3811
S01001663,6447
S01001664,6172
S01001665,5620
S01001666,4830
S01001667,6189
S01001668,5909
S01001669,3506
S01001670,6107
S01001671,5636
S01001672,3493
S01001673,5433
S01001674,3460
S01001675,6120
S01001676,5133
S01001677,6124
S01001678,5102
S01001679,6156
S01001680,6460
S01001681,6477
S01001682,5256
S01001683,5948
S01001684,5465
S01001685,3270
S01001686,6221
S01001687,5972
S01001688,5960
S01001689,6040
S01001690,4170
S01001691,6478
S01001692,3248
S01001693,6057
S01001694,5153
S01001695,6279
S01001696,5986
S01001697,4108
S01001698,3872
S01001699,6472
S01001700,6470
S01001701,4051
S01001702,5190
S01001703,6090
S01001704,6401
S01001705,6223
S01001706,6391
S01001707,2121
S01001708,5823
S01001709,6205
S01001710,5285
S01001711,5790
S01001712,5395
S01001713,5733
S01001714,6471
S01001715,6151
S01001716,2361
S01001717,6300
S01001718,6444
S01001719,6376
S01001720,5082
S01001721,5575
S01001722,6295
S01001723,6303
S01001724,0617
S01001725,2540
S01001726,6152
